opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price,sector,year_established,revenue,employees,office_location
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,10/20/2016,3/1/2017,1054,Dustin Brinkmann,Central,GTX,1096,retail,2001,718.62,2448,United States
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,10/25/2016,3/11/2017,4514,Melvin Marxen,Central,GTX,4821,medical,2002,3178.24,4540,United States
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,10/25/2016,3/7/2017,50,Melvin Marxen,Central,MG,55,retail,2001,718.62,2448,United States
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,10/25/2016,3/9/2017,588,Dustin Brinkmann,Central,GTX,550,software,1998,2714.9,2641,United States
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,10/25/2016,3/2/2017,517,Summer Sewald,West,GTX,550,services,1982,792.46,1299,United States
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,10/29/2016,3/1/2017,49,Dustin Brinkmann,Central,MG,55,medical,1992,3922.42,6837,United States
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,10/30/2016,3/2/2017,57,Celia Rouche,West,MG,55,retail,1989,1388.67,3583,United States
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,11/1/2016,3/7/2017,601,Celia Rouche,West,GTX,550,entertainment,1993,4269.9,6472,United States
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,11/1/2016,3/3/2017,1026,Melvin Marxen,Central,GTX,1096,medical,1984,441.08,1210,United States
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11/4/2016,3/10/2017,53,Dustin Brinkmann,Central,MG,55,medical,2012,587.34,1356,Philipines
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,11/4/2016,3/18/2017,0,Melvin Marxen,Central,GTX,4821,retail,2007,894.33,1635,Italy
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,11/4/2016,3/10/2017,5169,Summer Sewald,West,GTX,5482,marketing,2008,894.37,1593,Poland
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,11/4/2016,3/6/2017,4631,Summer Sewald,West,GTX,5482,telecommunications,1999,1699.85,5108,United States
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,11/5/2016,3/11/2017,3393,Celia Rouche,West,MG,3393,employment,1988,2059.9,3644,United States
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,11/5/2016,3/3/2017,0,Celia Rouche,West,MG,55,telecommunications,1999,1699.85,5108,United States
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,11/5/2016,3/6/2017,3284,Celia Rouche,West,MG,3393,software,1996,6354.87,16780,United States
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,11/6/2016,3/5/2017,61,Dustin Brinkmann,Central,MG,55,telecommunications,1988,5266.09,8595,United States
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,11/7/2016,3/9/2017,0,Rocco Neubert,East,GTX,4821,entertainment,1989,3838.39,8274,United States
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,11/7/2016,3/8/2017,46,Celia Rouche,West,MG,55,telecommunications,1994,1188.42,3015,United States
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,11/7/2016,3/17/2017,0,Summer Sewald,West,GTX,5482,retail,1990,4968.91,7523,United States
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,11/7/2016,3/18/2017,50,Dustin Brinkmann,Central,MG,55,medical,1992,3922.42,6837,United States
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,11/7/2016,3/11/2017,1014,Cara Losch,East,GTX,1096,finance,1993,646.1,883,United States
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,11/8/2016,3/26/2017,561,Melvin Marxen,Central,GTX,550,services,1997,2041.73,5276,United States
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,11/10/2016,3/23/2017,590,Summer Sewald,West,GTX,550,entertainment,1992,324.19,978,United States
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,11/10/2016,,,Summer Sewald,West,MG,3393,retail,1995,5158.71,17479,Japan
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11/10/2016,3/12/2017,61,Dustin Brinkmann,Central,MG,55,medical,2012,587.34,1356,Philipines
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,11/10/2016,3/11/2017,0,Cara Losch,East,GTX,5482,entertainment,1989,3838.39,8274,United States
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,11/11/2016,3/5/2017,58,Celia Rouche,West,MG,55,entertainment,1993,4269.9,6472,United States
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,11/11/2016,3/14/2017,4899,Summer Sewald,West,GTX,4821,medical,1985,2741.37,9226,United States
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,11/11/2016,3/1/2017,0,Cara Losch,East,MG,3393,software,1979,4478.47,13809,United States
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,11/11/2016,3/3/2017,67,Dustin Brinkmann,Central,MG,55,marketing,1995,2173.98,2928,United States
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,11/12/2016,3/6/2017,4338,Summer Sewald,West,GTX,4821,finance,1993,7537.24,20293,United States
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,11/12/2016,3/19/2017,578,Summer Sewald,West,GTX,550,retail,1990,4968.91,7523,United States
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/2016,3/1/2017,556,Rocco Neubert,East,GTX,550,technolgy,1996,1100.04,2822,United States
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,11/12/2016,3/3/2017,635,Celia Rouche,West,GTX,550,services,2003,692.19,1922,United States
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,11/12/2016,3/7/2017,3045,Cara Losch,East,MG,3393,medical,1996,439.21,792,United States
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,11/13/2016,3/14/2017,1233,Cara Losch,East,GTX,1096,marketing,1984,3027.46,9516,Jordan
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,11/13/2016,3/9/2017,60,Dustin Brinkmann,Central,MG,55,medical,1984,441.08,1210,United States
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,11/14/2016,3/30/2017,0,Dustin Brinkmann,Central,MG,55,telecommunications,2007,86.68,187,United States
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,11/14/2016,3/8/2017,0,Melvin Marxen,Central,GTX,550,finance,1987,1698.2,3798,United States
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,11/14/2016,3/20/2017,1170,Melvin Marxen,Central,GTX,1096,marketing,1985,375.43,1190,United States
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/15/2016,3/20/2017,1162,Melvin Marxen,Central,GTX,1096,retail,2007,894.33,1635,Italy
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,11/16/2016,3/14/2017,3725,Melvin Marxen,Central,MG,3393,technolgy,2005,1520.66,1806,United States
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,11/16/2016,3/31/2017,559,Summer Sewald,West,GTX,550,finance,2008,52.5,165,United States
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,11/16/2016,3/11/2017,0,Celia Rouche,West,GTX,550,retail,2001,2437.85,4874,United States
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,11/17/2016,3/21/2017,0,Melvin Marxen,Central,GTX,1096,technolgy,1983,1008.06,1238,United States
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,11/17/2016,3/5/2017,4667,Summer Sewald,West,GTX,5482,telecommunications,1999,1699.85,5108,United States
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,11/17/2016,3/17/2017,903,Melvin Marxen,Central,GTX,1096,finance,2006,1102.43,1759,United States
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,11/17/2016,3/13/2017,1180,Summer Sewald,West,GTX,1096,employment,1988,2059.9,3644,United States
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,11/17/2016,3/5/2017,487,Melvin Marxen,Central,GTX,550,medical,1992,3922.42,6837,United States
