opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,10/20/2016,3/1/2017,1054,Dustin Brinkmann,Central,GTX,1096
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,10/25/2016,3/11/2017,4514,Melvin Marxen,Central,GTX,4821
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,10/25/2016,3/7/2017,50,Melvin Marxen,Central,MG,55
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,10/25/2016,3/9/2017,588,Dustin Brinkmann,Central,GTX,550
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,10/25/2016,3/2/2017,517,Summer Sewald,West,GTX,550
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,10/29/2016,3/1/2017,49,Dustin Brinkmann,Central,MG,55
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,10/30/2016,3/2/2017,57,Celia Rouche,West,MG,55
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,11/1/2016,3/7/2017,601,Celia Rouche,West,GTX,550
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,11/1/2016,3/3/2017,1026,Melvin Marxen,Central,GTX,1096
HAXMC4IX,James Ascencio,MG Advanced,,Engaging,11/3/2016,,,Summer Sewald,West,MG,3393
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11/4/2016,3/10/2017,53,Dustin Brinkmann,Central,MG,55
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,11/4/2016,3/18/2017,0,Melvin Marxen,Central,GTX,4821
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,11/4/2016,3/10/2017,5169,Summer Sewald,West,GTX,5482
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,11/4/2016,3/6/2017,4631,Summer Sewald,West,GTX,5482
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,11/5/2016,3/11/2017,3393,Celia Rouche,West,MG,3393
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,11/5/2016,3/3/2017,0,Celia Rouche,West,MG,55
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,11/5/2016,3/6/2017,3284,Celia Rouche,West,MG,3393
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,11/6/2016,3/5/2017,61,Dustin Brinkmann,Central,MG,55
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,11/7/2016,3/9/2017,0,Rocco Neubert,East,GTX,4821
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,11/7/2016,3/8/2017,46,Celia Rouche,West,MG,55
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,11/7/2016,3/17/2017,0,Summer Sewald,West,GTX,5482
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,11/7/2016,3/18/2017,50,Dustin Brinkmann,Central,MG,55
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,11/7/2016,3/11/2017,1014,Cara Losch,East,GTX,1096
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,11/8/2016,3/26/2017,561,Melvin Marxen,Central,GTX,550
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,11/10/2016,3/23/2017,590,Summer Sewald,West,GTX,550
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,11/10/2016,,,Summer Sewald,West,MG,3393
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11/10/2016,3/12/2017,61,Dustin Brinkmann,Central,MG,55
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,11/10/2016,3/11/2017,0,Cara Losch,East,GTX,5482
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,11/11/2016,3/5/2017,58,Celia Rouche,West,MG,55
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,11/11/2016,3/14/2017,4899,Summer Sewald,West,GTX,4821
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,11/11/2016,3/1/2017,0,Cara Losch,East,MG,3393
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,11/11/2016,3/3/2017,67,Dustin Brinkmann,Central,MG,55
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,11/12/2016,3/6/2017,4338,Summer Sewald,West,GTX,4821
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,11/12/2016,3/19/2017,578,Summer Sewald,West,GTX,550
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/2016,3/1/2017,556,Rocco Neubert,East,GTX,550
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,11/12/2016,3/3/2017,635,Celia Rouche,West,GTX,550
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,11/12/2016,3/7/2017,3045,Cara Losch,East,MG,3393
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,11/13/2016,3/14/2017,1233,Cara Losch,East,GTX,1096
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,11/13/2016,3/9/2017,60,Dustin Brinkmann,Central,MG,55
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,11/14/2016,3/30/2017,0,Dustin Brinkmann,Central,MG,55
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,11/14/2016,3/8/2017,0,Melvin Marxen,Central,GTX,550
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,11/14/2016,3/20/2017,1170,Melvin Marxen,Central,GTX,1096
EG7OFLFR,Kami Bicknell,GTX Basic,,Engaging,11/14/2016,,,Summer Sewald,West,GTX,550
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/15/2016,3/20/2017,1162,Melvin Marxen,Central,GTX,1096
OLVI7L8M,Cassey Cress,GTXPro,,Engaging,11/16/2016,,,Rocco Neubert,East,GTX,4821
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,11/16/2016,3/14/2017,3725,Melvin Marxen,Central,MG,3393
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,11/16/2016,3/31/2017,559,Summer Sewald,West,GTX,550
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,11/16/2016,3/11/2017,0,Celia Rouche,West,GTX,550
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,11/17/2016,3/21/2017,0,Melvin Marxen,Central,GTX,1096
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,11/17/2016,3/5/2017,4667,Summer Sewald,West,GTX,5482
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,11/17/2016,3/17/2017,903,Melvin Marxen,Central,GTX,1096
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,11/17/2016,3/13/2017,1180,Summer Sewald,West,GTX,1096
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,11/17/2016,3/5/2017,487,Melvin Marxen,Central,GTX,550
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,11/18/2016,3/4/2017,3180,Dustin Brinkmann,Central,MG,3393
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,11/19/2016,3/17/2017,0,Melvin Marxen,Central,GTX,4821
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,11/19/2016,3/18/2017,3563,Melvin Marxen,Central,MG,3393
F5U1ACDD,Kami Bicknell,GTX Plus Basic,,Engaging,11/19/2016,,,Summer Sewald,West,GTX,1096
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,11/20/2016,3/23/2017,4704,Rocco Neubert,East,GTX,4821
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,11/20/2016,3/14/2017,5585,Rocco Neubert,East,GTX,5482
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,11/20/2016,3/9/2017,25897,Celia Rouche,West,GTK,26768
ZZY4516R,Hayden Neloms,MG Advanced,,Engaging,11/20/2016,,,Celia Rouche,West,MG,3393
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,11/20/2016,3/3/2017,1207,Summer Sewald,West,GTX,1096
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,11/20/2016,3/8/2017,0,Dustin Brinkmann,Central,MG,3393
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,11/20/2016,3/4/2017,559,Dustin Brinkmann,Central,GTX,550
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,11/20/2016,,,Summer Sewald,West,GTX,550
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,11/20/2016,3/9/2017,1033,Melvin Marxen,Central,GTX,1096
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,11/21/2016,3/21/2017,462,Rocco Neubert,East,GTX,550
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,11/21/2016,3/1/2017,0,Celia Rouche,West,MG,3393
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,11/21/2016,3/14/2017,5539,Summer Sewald,West,GTX,4821
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,11/21/2016,3/15/2017,3573,Dustin Brinkmann,Central,MG,3393
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,11/21/2016,3/1/2017,4926,Melvin Marxen,Central,GTX,4821
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,11/21/2016,3/17/2017,0,Summer Sewald,West,GTX,1096
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,11/22/2016,3/4/2017,62,Cara Losch,East,MG,55
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,11/22/2016,3/14/2017,4359,Melvin Marxen,Central,GTX,4821
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,11/22/2016,3/31/2017,566,Summer Sewald,West,GTX,550
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,11/22/2016,3/3/2017,508,Melvin Marxen,Central,GTX,550
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,11/22/2016,3/20/2017,0,Cara Losch,East,MG,3393
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,11/22/2016,3/11/2017,51,Dustin Brinkmann,Central,MG,55
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,11/22/2016,3/5/2017,4899,Celia Rouche,West,GTX,4821
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,11/23/2016,,,Cara Losch,East,GTX,550
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,11/23/2016,3/3/2017,5790,Cara Losch,East,GTX,5482
